sentence,majority_label
Climate catastrophism produces a level of obsession with reducing carbon footprints that is otherwise reserved for reducing waistlines.,disagrees
"Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.",neutral
"The impacts of long-term global warming are already being felt in coastal flooding, heat waves, intense precipitation and ecosystem change.",agrees
The scientists are wrong when they say global warming is real.,disagrees
"Over the past century, the Global Mean Sea Level (GMSL) has risen by 4 to 8 inches (10 to 20 centimeters).",neutral
The Golden Globes to send a signal and draw attention to the issue about climate change.,neutral
Climate change is a global catastrophe that’s unfolding before our very eyes in slow motion.,agrees
"Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.",neutral
The auto industry is on the cusp of redefining its relationship with fossil fuels and is on its way to becoming more of a mainstream concept.,neutral
Global warming is happening and it will be dangerous to human health and welfare.,agrees
"Climate change seemed like a godsend for Kiribati, the Pacific island nation threatened by rising seas.",neutral
Alarming levels of sea level rise are predicted to threaten Florida over the next decades.,agrees
Global warming is beneficial to the welfare and business.,disagrees
The city's plans had put it on a path to carbon neutrality .,neutral
Global warming is an election-winning issue.,neutral
"Global warming is ""steeped in controversy,"" despite the fact that consensus exists among the scientific community about its reality and urgency. ",neutral
"Natural events such as storms, floods, and droughts happen anyway and it is hard to blame particular occurrences on global warming.",disagrees
Global warming is happening and it will be dangerous to human health and welfare.,agrees
Alarming levels of sea level rise are predicted to threaten Florida over the next decades.,agrees
"If mankind wanted to stop climate change without stopping economic growth too, the world needed more nuclear energy, not less.",neutral
The carbon released will further warm the planet.,agrees
"In the last 10 years the surface of Greenland’s ice sheet has considerably darkened during the melt season, which in some areas is now between 6 and 11 days longer per decade than it is 40 years ago.",neutral
The threat to human health from climate change is so great that it could undermine the last 50 years of gains in developments in global health.,agrees
Global warming is caused mostly by human carbon emissions.,agrees
Alarmists about global warming are trying to gain more power over the economy and our lives.,disagrees
"After all, climate alarmists have notoriously failed to predict future temperatures.",disagrees
The typical American diet of something like 600 pounds of animal products a year is inconsistent with a progressive or even realistic view of slowing global warming.,neutral
Recent global warming is both real and mostly the result of human activity.,agrees
Terrestrial plants terrestrial plants can help absorb some carbon dioxide.,neutral
The Keystone XL pipeline-enabled production of tar sands oil would create as much as 5.3 billion metric tons of carbon dioxide-equivalent by 2050.,neutral
The world is in the midst of only the third global coral bleaching event ever recorded.,neutral
But only half of the carbon dioxide stays up there.,neutral
"As the biggest emitter, China has to be on board for any global climate agreement to work.",neutral
It would take decades of warming to melt permafrost buried beneath the active layer of soil that freezes and thaws with the seasons.,neutral
Fossil fuels will be used for the foreseeable future.,neutral
"But with a global failure to limit greenhouse gases, the risk is rising that climatic changes in coming decades could overwhelm such efforts to adapt.",agrees
Global warming is affecting the weather.,agrees
"Global-warming-driven extreme weather events â droughts, floods and wildfires â are sharply on the rise and we are staring through the last window of time to mitigate climate change so that we can manage the impacts that are already unavoidable and avoid the impacts that will be terrifyingly unmanageable.",agrees
Global warming is a hoax.,disagrees
Global warming is happening and is caused by human activities.,agrees
"As the Arctic gets warmer and warmer, the severe weather picks up.",agrees
Democratic members should focus on phasing out fossil fuels.,agrees
Some icebergs are cute.,neutral
"Sea levels have risen by seven inches since 1901, and the sea levels would rise 10 to 32 more inches by the 22nd century.",neutral
