row	round	batch	sent_id	sentence	worker_0	worker_1	worker_2	worker_3	worker_4	worker_5	worker_6	worker_7	disagree	agree	neutral	guid	in_held_out_test	disagreement_score
14	1	0	t17	Global warming is inevitably going to be, at best, managed .	disagrees	agrees	agrees	neutral	agrees	neutral	disagrees	neutral	0.1994170577102589	0.4776982095748759	0.3228847327148652	1_0_t17	False	0.38997500048077083
2002	5	4	t33	We can only fix climate change by destroying the economy or our personal liberties.	neutral	disagrees	disagrees	agrees	disagrees	neutral	agrees	agrees	0.571266416871407	0.4012493398884198	0.027484243240173	5_4_t33	False	0.38997500048077083
371	2	0	t23	The fifteen-year long “ global warming ” campaign all along meant “ climate change ” and that this in turn means that places supposed to get hotter get hotter and that places that are supposed to get colder — under global warming, er, climate change — get colder.	neutral	disagrees	agrees	agrees	disagrees	neutral	neutral	disagrees	0.7069309079509993	0.1753457010976886	0.1177233909513119	2_0_t23	True	0.38997500048077083
1911	5	2	t6	The prime minister had played down the links between global warming and changes in Australia's weather patterns.	neutral	neutral	disagrees	disagrees	agrees	agrees	neutral	agrees	0.1762752193397524	0.348137123857987	0.4755876568022606	5_2_t6	False	0.38997500048077083
2187	5	7	t7	The business community is increasingly not trying to lobby against decarbonization and solving the climate crisis.	neutral	agrees	disagrees	disagrees	neutral	agrees	neutral	agrees	0.0162445779018426	0.2610788963244235	0.7226765257737339	5_7_t7	False	0.38997500048077083
730	2	8	t22	Global warming has slowed because of measures taken by the government.	neutral	neutral	neutral	disagrees	agrees	disagrees	disagrees	agrees	0.4374080663657477	0.0761919380376296	0.4863999955966226	2_8_t22	False	0.38997500048077083
1528	4	5	t3	Global warming would open stretches of the Arctic Ocean to shipping and drilling.	agrees	disagrees	agrees	neutral	neutral	neutral	disagrees	disagrees	0.6013957028045027	0.0739977338427459	0.3246065633527513	4_5_t3	False	0.38997500048077083
792	2	9	t38	Carbon dioxide is a perfectly natural gas.	disagrees	neutral	neutral	disagrees	neutral	agrees	disagrees	agrees	0.6640266149648437	0.0526953400130678	0.2832780450220884	2_9_t38	False	0.38997500048077083
1870	5	2	t13	Something fishy is going on when we notice that the July 2019 temp anomaly at 0.95 Â° C above the 20th-century average is exactly (to the second decimal place) the same as the year to date (YTD) temperature anomaly.	agrees	neutral	agrees	disagrees	neutral	disagrees	neutral	disagrees	0.4797075999736792	0.0692435616583887	0.451048838367932	5_2_t13	False	0.38997500048077083
1853	5	1	t48	The global temperature was more or less constant before human CO2 emissions.	agrees	neutral	disagrees	agrees	agrees	disagrees	neutral	disagrees	0.23152144033649	0.3921433455894449	0.3763352140740649	5_1_t48	False	0.38997500048077083
1850	5	1	t45	The climate crisis is not going to be solved by personal sacrifice.	disagrees	agrees	disagrees	agrees	neutral	agrees	neutral	neutral	0.2575623759393998	0.5109425563597094	0.2314950677008908	5_1_t45	False	0.38997500048077083
2056	5	5	t32	Man-made climate change isn't solely to blame for tropical storms.	neutral	disagrees	agrees	disagrees	neutral	disagrees	neutral	agrees	0.5806154597685698	0.0092665945181254	0.4101179457133048	5_5_t32	False	0.38997500048077083
1279	4	0	t30	This gives cause for hope that once greenhouse-gas concentrations stabilize, the average temperatures in the Arctic would respond in ways that would keep the sea ice from declining further, although natural shifts in seasonal weather patterns would continue to play its role in varying sea-ice extent from one year to the next.	agrees	neutral	neutral	agrees	disagrees	disagrees	agrees	neutral	0.4268579608233926	0.3634233194502548	0.2097187197263526	4_0_t30	False	0.38997500048077083
1821	5	1	t19	Mr. Morrison would not put jobs at risk or raise taxes in the pursuit of lower carbon emissions.	disagrees	neutral	disagrees	neutral	agrees	disagrees	neutral	agrees	0.3259532132107945	0.0433900605515436	0.630656726237662	5_1_t19	True	0.38997500048077083
1818	5	1	t16	Their rights are endangered by the impacts of climate change.	disagrees	agrees	disagrees	neutral	neutral	agrees	agrees	neutral	0.2560459545324538	0.5079277408840693	0.2360263045834768	5_1_t16	False	0.38997500048077083
1817	5	1	t15	However, it is unfortunate that, in coming to this conclusion, the court summarized the scientific evidence on climate change in such apocalyptic terms.	disagrees	disagrees	agrees	neutral	neutral	neutral	disagrees	agrees	0.5875690235122347	0.1095730196853306	0.3028579568024345	5_1_t15	False	0.38997500048077083
1374	4	2	t26	Antarctica alone will make sea levels fall by between 2 and 14 cms this century because more snowfall will extract water from the sea.	disagrees	agrees	neutral	neutral	disagrees	neutral	agrees	agrees	0.2761175452496454	0.4278767342295135	0.296005720520841	4_2_t26	False	0.38997500048077083
2048	5	5	t25	The corruption of climate science has occurred because some of our most important institutions have let us down.	disagrees	disagrees	agrees	neutral	disagrees	neutral	neutral	agrees	0.5496066985781972	0.0092494650759729	0.4411438363458299	5_5_t25	False	0.38997500048077083
905	3	2	t18	Our ways of inferring future rates of sea level rise from ice sheet melting is crude .	neutral	disagrees	agrees	agrees	neutral	agrees	disagrees	neutral	0.2141159356807198	0.3715821947564169	0.4143018695628631	3_2_t18	True	0.38997500048077083
1612	4	7	t15	Lindzenâs scientific case against the man-made global warming scare is essentially this.	neutral	neutral	agrees	disagrees	neutral	disagrees	agrees	agrees	0.4140037137463658	0.1585321439973336	0.4274641422563004	4_7_t15	True	0.38997500048077083
1585	4	6	t36	This is especially true of the fossil fuel which for years has been vilified by eco-campaigners as the dirtiest of them all.	neutral	agrees	disagrees	agrees	disagrees	neutral	neutral	disagrees	0.5428433394218725	0.0301802244730871	0.4269764361050404	4_6_t36	True	0.38997500048077083
475	2	2	t36	Sea level rise in the 20th century is mostly man-made.	neutral	agrees	neutral	agrees	agrees	disagrees	neutral	disagrees	0.2637544388458808	0.277631206656093	0.4586143544980261	2_2_t36	False	0.38997500048077083
500	2	3	t18	It gives us a dangerous climate that we make safe, above all, by using energy from fossil fuels.	agrees	neutral	disagrees	neutral	neutral	agrees	disagrees	disagrees	0.6397428690229486	0.1991276589998936	0.1611294719771577	2_3_t18	False	0.38997500048077083
1380	4	2	t31	Natural climate swings are playing a greater role in the loss of ice from West Antarctica than global warming.	agrees	disagrees	neutral	neutral	agrees	disagrees	agrees	disagrees	0.5996698577265578	0.3240815117437625	0.0762486305296796	4_2_t31	False	0.38997500048077083
224	1	6	t17	The findings do not undermine global warming theory.	disagrees	neutral	neutral	disagrees	agrees	neutral	agrees	agrees	0.1329103145610592	0.3864719109391182	0.4806177744998226	1_6_t17	True	0.38997500048077083
217	1	6	t10	The global warming of the 1900s is caused by a rise in solar output.	agrees	neutral	neutral	disagrees	agrees	disagrees	neutral	disagrees	0.5230615919962444	0.065944232459839	0.4109941755439165	1_6_t10	True	0.38997500048077083
1741	4	9	t41	A combination of factors are at work, including a natural El Nino system, man-made global warming and a dash of random weather.	agrees	disagrees	agrees	neutral	neutral	agrees	neutral	disagrees	0.8954261269154798	0.011760504734425	0.092813368350095	4_9_t41	False	0.38997500048077083
