row	round	batch	sent_id	sentence	worker_0	worker_1	worker_2	worker_3	worker_4	worker_5	worker_6	worker_7	disagree	agree	neutral	guid	in_held_out_test	disagreement_score
0	1	0	s0	Global warming is a hoax.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees				1_0_s0	False	-24.0
1	1	0	s1	Alarming levels of sea level rise are predicted to threaten Florida over the next decades.	neutral	neutral	neutral	agrees	agrees	neutral	neutral	agrees				1_0_s1	False	-4.18226398830014
2	1	0	s2	Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral				1_0_s2	False	-24.0
3	1	0	s3	Global warming is happening and it will be dangerous to human health and welfare.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees				1_0_s3	False	-24.0
4	1	0	s4	Some icebergs are cute.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral				1_0_s4	False	-24.0
5	1	0	t0	Warmer-than-normal sea surface temperatures are a key player in the development of hurricanes such as Katrina and superstorm Sandy, which hit the U.S. east coast in 2011.	neutral	neutral	neutral	agrees	agrees	agrees	agrees	agrees	0.0031054501955222	0.7112601909562432	0.2856343588482345	1_0_t0	False	-4.18226398830014
6	1	0	t1	We will continue to rely in part on fossil fuels while we transition to a low-carbon economy .	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.0008302056361343	0.0011633968445967	0.9980063975192688	1_0_t1	False	-24.0
7	1	0	t10	The actual rise in sea levels measured only 1.2 millimeters instead of the previously accepted 1.6 to 1.9 millimeters.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.0008023981446615	0.0011741847241593	0.9980234171311791	1_0_t10	False	-24.0
8	1	0	t11	Claims of global warming have been greatly exaggerated.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	0.9976949697899088	0.0011706113493046	0.0011344188607863	1_0_t11	False	-24.0
9	1	0	t12	The Intergovernmental Panel on Climate Change should be clearer on how it draws conclusions from the body of research it assesses when gauging the impacts of global warming.	neutral	disagrees	neutral	neutral	neutral	neutral	neutral	neutral	0.0313511038133833	0.0029620831143419	0.9656868130722748	1_0_t12	False	-5.825742227201615
10	1	0	t13	Evidence now leans against global warming resulting from human-related greenhouse gas emissions.	disagrees	agrees	disagrees	neutral	neutral	disagrees	neutral	disagrees	0.5354619451184495	0.0639466074529593	0.4005914474285913	1_0_t13	True	-0.025062498798072874
11	1	0	t14	Flooding has been going on forever.	disagrees	disagrees	disagrees	neutral	neutral	neutral	disagrees	disagrees	0.7109930181908649	0.004516479749723	0.2844905020594119	1_0_t14	False	-4.18226398830014
12	1	0	t15	Simply reducing emissions will not sufficiently limit global warming.	neutral	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0017036630845652	0.9733360767289408	0.0249602601864938	1_0_t15	False	-5.825742227201615
13	1	0	t16	Climate deniers blame global warming on aliens from outer space.	disagrees	agrees	neutral	agrees	neutral	neutral	agrees	neutral	0.0519086521947938	0.3878527042629064	0.5602386435422999	1_0_t16	False	-0.025062498798072874
15	1	0	t18	Some parts of the world the world, such as the coast of California, saw sea levels fall.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.0007999830946563	0.0011837082893774	0.9980163086159662	1_0_t18	False	-24.0
16	1	0	t19	If carbon dioxide emissions continue to rise beyond 2020, or even remain level, the temperature goals set in Paris become almost unattainable.	neutral	neutral	agrees	neutral	neutral	neutral	agrees	agrees	0.0032699080813876	0.3362163452011481	0.6605137467174642	1_0_t19	False	-4.18226398830014
17	1	0	t2	The study is one more example that you can get any answer you want when the thermometer data errors are larger than the global warming signal you are looking for.	disagrees	disagrees	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	0.9774752638680392	0.0024101080383205	0.0201146280936404	1_0_t2	False	-5.825742227201615
18	1	0	t20	Millions more people around the world are threatened by river floods in coming decades due to climate change.	agrees	agrees	neutral	agrees	agrees	agrees	agrees	neutral	0.0026458023364111	0.869270009220085	0.1280841884435037	1_0_t20	False	-4.754887502163468
19	1	0	t21	45 % of the general public view perceived global warming as caused by humans.	neutral	neutral	neutral	agrees	neutral	neutral	neutral	neutral	0.0019036628933231	0.0365567762708888	0.961539560835788	1_0_t21	True	-5.825742227201615
20	1	0	t22	Two billion people may be displaced by rising sea levels by the turn of the next century.	neutral	neutral	neutral	neutral	agrees	agrees	agrees	agrees	0.0033187811177468	0.5133335489524735	0.4833476699297798	1_0_t22	False	-4.0
21	1	0	t23	Global warming is real and threatening.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0007301524785511	0.9982364778132766	0.0010333697081722	1_0_t23	False	-24.0
22	1	0	t24	There is a danger that we can get used to global warming.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	neutral	0.0016252992764506	0.974257345131495	0.0241173555920544	1_0_t24	True	-5.825742227201615
23	1	0	t25	Doing so will be central for getting global warming under control.	neutral	agrees	agrees	neutral	agrees	agrees	agrees	neutral	0.0030861805264383	0.7454617536568253	0.2514520658167363	1_0_t25	False	-4.18226398830014
24	1	0	t26	Global sea-level rise is both undeniable and consequential.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0007200413568176	0.9982420058765812	0.001037952766601	1_0_t26	False	-24.0
25	1	0	t27	Global warming isn’t happening.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	0.9976607745916812	0.0011682749245403	0.0011709504837784	1_0_t27	True	-24.0
26	1	0	t28	Carbon dioxide will hit another record high in 201.	neutral	agrees	neutral	neutral	neutral	neutral	agrees	agrees	0.0033176383469177	0.3115886257147842	0.6850937359382979	1_0_t28	False	-4.18226398830014
27	1	0	t29	You now have a global marketplace for clean energy that is stable and accelerating.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.0007786820991051	0.0011444081770496	0.9980769097238452	1_0_t29	False	-24.0
28	1	0	t3	Fighting global warming, the stated purpose of AB32, is a loser with California voters.	disagrees	neutral	neutral	neutral	neutral	disagrees	neutral	neutral	0.1027448510482786	0.0037322952801503	0.8935228536715711	1_0_t3	False	-4.754887502163468
29	1	0	t4	Four in ten Americans (40%) have personally experienced the effects of global warming.	neutral	agrees	neutral	neutral	neutral	agrees	neutral	neutral	0.0026193711417882	0.1190477933417234	0.8783328355164881	1_0_t4	False	-4.754887502163468
30	1	0	t5	Fossil fuels will be used for the foreseeable future.	neutral	neutral	neutral	neutral	neutral	neutral	disagrees	neutral	0.0369044113982233	0.0028931662764624	0.9602024223253142	1_0_t5	False	-5.825742227201615
31	1	0	t6	Humans have a role and therefore as a matter of prudence we ought to have less carbon loading of the atmosphere.	agrees	agrees	agrees	neutral	agrees	neutral	agrees	agrees	0.0024851345754369	0.8927853745452782	0.1047294908792848	1_0_t6	True	-4.754887502163468
32	1	0	t7	The global warming has become a new religion.	disagrees	disagrees	neutral	disagrees	disagrees	disagrees	disagrees	neutral	0.8659362921748048	0.0038127595635894	0.1302509482616057	1_0_t7	True	-4.754887502163468
33	1	0	t8	The global warming crowd can’t get any crazier.	disagrees	disagrees	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	0.976679668775352	0.0024198593722878	0.0209004718523601	1_0_t8	False	-5.825742227201615
